NAME	TERM	ES	NES	NOM_P_VAL	FDR_Q_VAL	FWER_P_VAL	TAG_%	GENE_%	LEAD_GENES	LEAD_GENES_IDS
prerank	MYC Targets V2	0.5815500304019027	1.3324948332477322	0.053353658536585365	0.745800924360275	0.552	35/58	22.70%	MAP3K6;WDR43;UTP20;HK2;PLK1;PPAN;NOLC1;GNL3;NOP56;MYC;SLC19A1;EXOSC5;HSPD1;CBX3;PRMT3;NOP16;WDR74;NIP7;PA2G4;MPHOSPH10;PES1;TCOF1;IPO4;NOC4L;PPRC1;TBRG4;MRTO4;RRP12;NPM1;SUPV3L1;DUSP2;PHB1;DDX18;TMEM97;UNG	ENSG00000142733;ENSG00000163811;ENSG00000120800;ENSG00000159399;ENSG00000166851;ENSG00000130810;ENSG00000166197;ENSG00000163938;ENSG00000101361;ENSG00000136997;ENSG00000173638;ENSG00000077348;ENSG00000144381;ENSG00000122565;ENSG00000185238;ENSG00000048162;ENSG00000133316;ENSG00000132603;ENSG00000170515;ENSG00000124383;ENSG00000100029;ENSG00000070814;ENSG00000196497;ENSG00000184967;ENSG00000148840;ENSG00000136270;ENSG00000053372;ENSG00000052749;ENSG00000181163;ENSG00000156502;ENSG00000158050;ENSG00000167085;ENSG00000088205;ENSG00000109084;ENSG00000076248
prerank	Oxidative Phosphorylation	-0.45110638959342125	-1.3086734986324347	0.0038022813688212928	0.5468448608432076	0.348	121/200	22.82%	ECI1;IDH2;FDX1;UQCR10;BDH2;SUCLA2;DECR1;ATP6V1F;COX15;NDUFB5;NQO2;SLC25A4;ECHS1;ATP6V1D;ATP6V0C;MPC1;ATP6V1H;ACO2;SLC25A20;ATP6AP1;GPX4;ACADSB;SURF1;BAX;ACADVL;NDUFC1;TCIRG1;ATP5PD;IDH3G;PDP1;ATP6V1E1;COX6C;MRPS22;NDUFA3;POLR2F;ETFB;RHOT2;UQCR11;HCCS;IDH3A;IMMT;CYB5R3;COX8A;NDUFV1;COX11;NDUFB3;NNT;ATP5ME;ATP5F1E;ABCB7;COX5B;MRPL11;TIMM8B;COX6A1;ATP5MG;ACAT1;UQCRC1;ATP5MC2;UQCRB;HADHA;SLC25A5;NDUFS7;BCKDHA;COX17;ATP6V0E1;OAT;MFN2;COX7C;SDHC;NDUFS8;DLST;ATP5MC1;MDH2;GPI;MRPL34;CASP7;NDUFS3;MRPS15;UQCRH;PDHX;MRPL15;ISCU;ALDH6A1;UQCRQ;COX7B;TOMM22;NDUFB2;SLC25A11;VDAC3;ISCA1;NDUFA7;MDH1;ATP5MC3;ATP5PF;COX5A;ECH1;COX6B1;MRPS12;ATP5F1C;SDHA;SUCLG1;FH;TIMM50;ATP5F1A;COX7A2;NDUFA9;NDUFA4;COX4I1;ATP5MF;ATP5F1B;ACAA2;PDHA1;SLC25A3;UQCRC2;AIFM1;HADHB;VDAC1;COX7A2L;OGDH;ETFA;HSD17B10	ENSG00000167969;ENSG00000182054;ENSG00000137714;ENSG00000184076;ENSG00000164039;ENSG00000136143;ENSG00000104325;ENSG00000128524;ENSG00000014919;ENSG00000136521;ENSG00000124588;ENSG00000151729;ENSG00000127884;ENSG00000100554;ENSG00000185883;ENSG00000060762;ENSG00000047249;ENSG00000100412;ENSG00000178537;ENSG00000071553;ENSG00000167468;ENSG00000196177;ENSG00000148290;ENSG00000087088;ENSG00000072778;ENSG00000109390;ENSG00000110719;ENSG00000167863;ENSG00000067829;ENSG00000164951;ENSG00000131100;ENSG00000164919;ENSG00000175110;ENSG00000170906;ENSG00000100142;ENSG00000105379;ENSG00000140983;ENSG00000127540;ENSG00000004961;ENSG00000166411;ENSG00000132305;ENSG00000100243;ENSG00000176340;ENSG00000167792;ENSG00000166260;ENSG00000119013;ENSG00000112992;ENSG00000169020;ENSG00000124172;ENSG00000131269;ENSG00000135940;ENSG00000174547;ENSG00000150779;ENSG00000111775;ENSG00000167283;ENSG00000075239;ENSG00000010256;ENSG00000135390;ENSG00000156467;ENSG00000084754;ENSG00000005022;ENSG00000115286;ENSG00000248098;ENSG00000138495;ENSG00000113732;ENSG00000065154;ENSG00000116688;ENSG00000127184;ENSG00000143252;ENSG00000110717;ENSG00000119689;ENSG00000159199;ENSG00000146701;ENSG00000105220;ENSG00000130312;ENSG00000165806;ENSG00000213619;ENSG00000116898;ENSG00000173660;ENSG00000110435;ENSG00000137547;ENSG00000136003;ENSG00000119711;ENSG00000164405;ENSG00000131174;ENSG00000100216;ENSG00000090266;ENSG00000108528;ENSG00000078668;ENSG00000135070;ENSG00000267855;ENSG00000014641;ENSG00000154518;ENSG00000154723;ENSG00000178741;ENSG00000104823;ENSG00000126267;ENSG00000128626;ENSG00000165629;ENSG00000073578;ENSG00000163541;ENSG00000091483;ENSG00000105197;ENSG00000152234;ENSG00000112695;ENSG00000139180;ENSG00000189043;ENSG00000131143;ENSG00000241468;ENSG00000110955;ENSG00000167315;ENSG00000131828;ENSG00000075415;ENSG00000140740;ENSG00000156709;ENSG00000138029;ENSG00000213585;ENSG00000115944;ENSG00000105953;ENSG00000140374;ENSG00000072506
prerank	Interferon Alpha Response	-0.47069588929285877	-1.256841818761149	0.052478134110787174	0.43338385230090937	0.488	45/97	17.88%	IFIT2;IFI44;BATF2;LAMP3;OAS1;CCRL2;CMTR1;TXNIP;GMPR;LPAR6;IFI44L;ISG15;RIPK2;MX1;IFIT3;CNP;STAT2;PROCR;CD74;LY6E;IL15;SAMD9;IFI30;MOV10;IFI35;TENT5A;SAMD9L;RSAD2;OASL;IFITM2;CSF1;CASP1;IRF2;NUB1;BST2;CMPK2;IFITM3;PARP12;B2M;IFITM1;HLA-C;RTP4;IRF1;ADAR;PSMB9	ENSG00000119922;ENSG00000137965;ENSG00000168062;ENSG00000078081;ENSG00000089127;ENSG00000121797;ENSG00000137200;ENSG00000265972;ENSG00000137198;ENSG00000139679;ENSG00000137959;ENSG00000187608;ENSG00000104312;ENSG00000157601;ENSG00000119917;ENSG00000173786;ENSG00000170581;ENSG00000101000;ENSG00000019582;ENSG00000160932;ENSG00000164136;ENSG00000205413;ENSG00000216490;ENSG00000155363;ENSG00000068079;ENSG00000112773;ENSG00000177409;ENSG00000134321;ENSG00000135114;ENSG00000185201;ENSG00000184371;ENSG00000137752;ENSG00000168310;ENSG00000013374;ENSG00000130303;ENSG00000134326;ENSG00000142089;ENSG00000059378;ENSG00000166710;ENSG00000185885;ENSG00000204525;ENSG00000136514;ENSG00000125347;ENSG00000160710;ENSG00000240065
prerank	DNA Repair	-0.42796667400897065	-1.1963430686624132	0.07380073800738007	0.4968310829429595	0.684	77/150	21.43%	NPR2;GSDME;USP11;POLE4;GTF2H5;RAD51;AGO4;FEN1;NELFE;POLH;EIF1B;PCNA;GPX4;DDB2;TYMS;SAC3D1;ADA;SURF1;NELFCD;POLR3GL;POLA1;CETN2;RPA2;TAF12;PDE6G;MPC2;EDF1;RPA3;DAD1;ZWINT;POLR2E;STX3;GTF2B;GTF2A2;POLR2F;PDE4B;POLR2J;RRM2B;ADRM1;NELFB;TP53;CMPK2;ARL6IP1;NME4;SDCBP;TAF6;SEC61A1;ERCC2;BCAP31;APRT;SUPT5H;TSG101;POLR2G;COX17;RFC5;POLR2A;POLD3;SNAPC5;POLD1;RBX1;GTF2H3;XPC;POLD4;CSTF3;RFC2;LIG1;MPG;GUK1;SUPT4H1;UMPS;RFC4;DDB1;GTF3C5;VPS28;HCLS1;POLB;MRPL40	ENSG00000159899;ENSG00000105928;ENSG00000102226;ENSG00000115350;ENSG00000272047;ENSG00000051180;ENSG00000134698;ENSG00000168496;ENSG00000204356;ENSG00000170734;ENSG00000114784;ENSG00000132646;ENSG00000167468;ENSG00000134574;ENSG00000176890;ENSG00000168061;ENSG00000196839;ENSG00000148290;ENSG00000101158;ENSG00000121851;ENSG00000101868;ENSG00000147400;ENSG00000117748;ENSG00000120656;ENSG00000185527;ENSG00000143158;ENSG00000107223;ENSG00000106399;ENSG00000129562;ENSG00000122952;ENSG00000099817;ENSG00000166900;ENSG00000137947;ENSG00000140307;ENSG00000100142;ENSG00000184588;ENSG00000005075;ENSG00000048392;ENSG00000130706;ENSG00000188986;ENSG00000141510;ENSG00000134326;ENSG00000170540;ENSG00000103202;ENSG00000137575;ENSG00000106290;ENSG00000058262;ENSG00000104884;ENSG00000185825;ENSG00000198931;ENSG00000196235;ENSG00000074319;ENSG00000168002;ENSG00000138495;ENSG00000111445;ENSG00000181222;ENSG00000077514;ENSG00000174446;ENSG00000062822;ENSG00000100387;ENSG00000111358;ENSG00000154767;ENSG00000175482;ENSG00000176102;ENSG00000049541;ENSG00000105486;ENSG00000103152;ENSG00000143774;ENSG00000213246;ENSG00000114491;ENSG00000163918;ENSG00000167986;ENSG00000148308;ENSG00000160948;ENSG00000180353;ENSG00000070501;ENSG00000185608
prerank	MYC Targets V1	0.44451044091614406	1.171121945905236	0.10263157894736842	1.0	0.986	116/200	25.40%	DDX21;SSB;IFRD1;RSL1D1;XPOT;PRDX4;NOLC1;GNL3;HDGF;NOP56;MYC;HDAC2;SET;PHB2;SMARCC1;C1QBP;HNRNPD;SERBP1;SYNCRIP;SSBP1;PWP1;HSPD1;NCBP2;CBX3;TARDBP;CCT2;PSMA2;NOP16;UBA2;HNRNPA2B1;KPNB1;XPO1;PA2G4;HNRNPA3;TOMM70;EPRS1;SRPK1;SRSF1;PSMC6;EIF4H;ORC2;PABPC1;EEF1B2;SRSF7;PRDX3;LDHA;PRPS2;EIF3J;EIF2S2;RUVBL2;DUT;G3BP1;FAM120A;PSMD7;SRSF3;USP1;TRA2B;CLNS1A;NDUFAB1;MRPL9;GSPT1;RPL22;PABPC4;IMPDH2;NPM1;IARS1;EIF3B;ABCE1;EIF1AX;NAP1L1;APEX1;RAD23B;H2AZ1;EIF4A1;RPS6;PHB1;DHX15;SF3A1;DDX18;RPL6;SNRPD1;HNRNPA1;MAD2L1;CDC20;RPL34;NME1;LSM7;HNRNPR;CCT5;MCM6;TUFM;PSMA1;PGK1;SNRPB2;ODC1;HNRNPC;SRSF2;U2AF1;KARS1;HNRNPU;COPS5;HSP90AB1;ETF1;RACK1;PSMA6;RPS5;EIF4E;DEK;MRPS18B;SNRPA1;TCP1;CNBP;PSMA4;PSMA7;PCBP1;CYC1	ENSG00000165732;ENSG00000138385;ENSG00000006652;ENSG00000171490;ENSG00000184575;ENSG00000123131;ENSG00000166197;ENSG00000163938;ENSG00000143321;ENSG00000101361;ENSG00000136997;ENSG00000196591;ENSG00000119335;ENSG00000215021;ENSG00000173473;ENSG00000108561;ENSG00000138668;ENSG00000142864;ENSG00000135316;ENSG00000106028;ENSG00000136045;ENSG00000144381;ENSG00000114503;ENSG00000122565;ENSG00000120948;ENSG00000166226;ENSG00000106588;ENSG00000048162;ENSG00000126261;ENSG00000122566;ENSG00000108424;ENSG00000082898;ENSG00000170515;ENSG00000170144;ENSG00000154174;ENSG00000136628;ENSG00000096063;ENSG00000136450;ENSG00000100519;ENSG00000106682;ENSG00000115942;ENSG00000070756;ENSG00000114942;ENSG00000115875;ENSG00000165672;ENSG00000134333;ENSG00000101911;ENSG00000104131;ENSG00000125977;ENSG00000183207;ENSG00000128951;ENSG00000145907;ENSG00000048828;ENSG00000103035;ENSG00000112081;ENSG00000162607;ENSG00000136527;ENSG00000074201;ENSG00000004779;ENSG00000143436;ENSG00000103342;ENSG00000116251;ENSG00000090621;ENSG00000178035;ENSG00000181163;ENSG00000196305;ENSG00000106263;ENSG00000164163;ENSG00000173674;ENSG00000187109;ENSG00000100823;ENSG00000119318;ENSG00000164032;ENSG00000161960;ENSG00000137154;ENSG00000167085;ENSG00000109606;ENSG00000099995;ENSG00000088205;ENSG00000089009;ENSG00000167088;ENSG00000135486;ENSG00000164109;ENSG00000117399;ENSG00000109475;ENSG00000239672;ENSG00000130332;ENSG00000125944;ENSG00000150753;ENSG00000076003;ENSG00000178952;ENSG00000129084;ENSG00000102144;ENSG00000125870;ENSG00000115758;ENSG00000092199;ENSG00000161547;ENSG00000160201;ENSG00000065427;ENSG00000153187;ENSG00000121022;ENSG00000096384;ENSG00000120705;ENSG00000204628;ENSG00000100902;ENSG00000083845;ENSG00000151247;ENSG00000124795;ENSG00000204568;ENSG00000131876;ENSG00000120438;ENSG00000169714;ENSG00000041357;ENSG00000101182;ENSG00000169564;ENSG00000179091
prerank	Mitotic Spindle	0.43524894732196795	1.1515426311466155	0.13026315789473683	1.0	0.995	87/199	21.25%	PALLD;DOCK4;WASF1;DST;RAPGEF5;ARHGAP29;CTTN;BCAR1;RASAL2;CLIP1;MID1;SYNPO;CENPF;CLIP2;CEP192;FGD6;SORBS2;ARHGEF11;RICTOR;KIF1B;TRIO;CEP72;CENPE;PCM1;TSC1;MARK4;CD2AP;CDK5RAP2;SMC3;CDC42EP1;RAPGEF6;PLK1;ALMS1;KIF20B;MID1IP1;KIF15;AKAP13;ARAP3;CLASP1;DLGAP5;HOOK3;LMNB1;SASS6;ARHGAP5;HDAC6;SMC4;RALBP1;APC;RASA2;ROCK1;ARHGEF7;KIF11;TUBGCP2;KIF5B;CDC42EP2;ESPL1;KPTN;CENPJ;SMC1A;TUBGCP6;CNTRL;SPTBN1;CDC42BPA;LRPPRC;CDC27;LATS1;PREX1;TOP2A;PIF1;FLNB;RASA1;EPB41;ARHGEF12;VCL;DOCK2;CEP57;KIFAP3;NCK1;KNTC1;ABI1;PLEKHG2;RAB3GAP1;NCK2;RANBP9;DYNC1H1;TIAM1;DLG1	ENSG00000129116;ENSG00000128512;ENSG00000112290;ENSG00000151914;ENSG00000136237;ENSG00000137962;ENSG00000085733;ENSG00000050820;ENSG00000075391;ENSG00000130779;ENSG00000101871;ENSG00000171992;ENSG00000117724;ENSG00000106665;ENSG00000101639;ENSG00000180263;ENSG00000154556;ENSG00000132694;ENSG00000164327;ENSG00000054523;ENSG00000038382;ENSG00000112877;ENSG00000138778;ENSG00000078674;ENSG00000165699;ENSG00000007047;ENSG00000198087;ENSG00000136861;ENSG00000108055;ENSG00000128283;ENSG00000158987;ENSG00000166851;ENSG00000116127;ENSG00000138182;ENSG00000165175;ENSG00000163808;ENSG00000170776;ENSG00000120318;ENSG00000074054;ENSG00000126787;ENSG00000168172;ENSG00000113368;ENSG00000156876;ENSG00000100852;ENSG00000094631;ENSG00000113810;ENSG00000017797;ENSG00000134982;ENSG00000155903;ENSG00000067900;ENSG00000102606;ENSG00000138160;ENSG00000130640;ENSG00000170759;ENSG00000149798;ENSG00000135476;ENSG00000118162;ENSG00000151849;ENSG00000072501;ENSG00000128159;ENSG00000119397;ENSG00000115306;ENSG00000143776;ENSG00000138095;ENSG00000004897;ENSG00000131023;ENSG00000124126;ENSG00000131747;ENSG00000140451;ENSG00000136068;ENSG00000145715;ENSG00000159023;ENSG00000196914;ENSG00000035403;ENSG00000134516;ENSG00000166037;ENSG00000075945;ENSG00000158092;ENSG00000184445;ENSG00000136754;ENSG00000090924;ENSG00000115839;ENSG00000071051;ENSG00000010017;ENSG00000197102;ENSG00000156299;ENSG00000075711
prerank	UV Response DN	0.44355429918909456	1.1380840784224913	0.17103448275862068	1.0	0.997	51/144	16.18%	SCN8A;LAMC1;AMPH;PPARG;VLDLR;ITGB3;PLCB4;ID1;RGS4;TJP1;GRK5;CCN1;F3;COL3A1;MGLL;COL5A2;PTPRM;KCNMA1;INSIG1;NFIB;LTBP1;DMAC2L;CACNA1A;LDLR;RXRA;ATRN;MAP1B;PLPP3;GJA1;BMPR1A;PRKAR2B;YTHDC1;ATP2B4;ACVR2A;RND3;CAV1;TENT4A;ATRX;SPOP;INPP4B;PDGFRB;MT1E;MYC;IGF1R;CELF2;NIPBL;PHF3;CDK13;RASA2;ADORA2B;SLC22A18	ENSG00000196876;ENSG00000135862;ENSG00000078053;ENSG00000132170;ENSG00000147852;ENSG00000259207;ENSG00000101333;ENSG00000125968;ENSG00000117152;ENSG00000104067;ENSG00000198873;ENSG00000142871;ENSG00000117525;ENSG00000168542;ENSG00000074416;ENSG00000204262;ENSG00000173482;ENSG00000156113;ENSG00000186480;ENSG00000147862;ENSG00000049323;ENSG00000125375;ENSG00000141837;ENSG00000130164;ENSG00000186350;ENSG00000088812;ENSG00000131711;ENSG00000162407;ENSG00000152661;ENSG00000107779;ENSG00000005249;ENSG00000083896;ENSG00000058668;ENSG00000121989;ENSG00000115963;ENSG00000105974;ENSG00000112941;ENSG00000085224;ENSG00000121067;ENSG00000109452;ENSG00000113721;ENSG00000169715;ENSG00000136997;ENSG00000140443;ENSG00000048740;ENSG00000164190;ENSG00000118482;ENSG00000065883;ENSG00000155903;ENSG00000170425;ENSG00000110628
prerank	IL6 JAK STAT3 Signaling	0.457088618167854	1.1049623711122953	0.2545180722891566	1.0	0.999	24/87	14.28%	CXCL13;CXCL1;CXCL11;LTBR;CXCL10;ITGB3;CD14;CXCL9;INHBE;CCR1;IL6ST;JUN;SOCS3;IL6;IL1R2;CD36;ACVR1B;IL17RB;IL15RA;STAT3;CBL;EBI3;IL18R1;IL13RA1	ENSG00000156234;ENSG00000163739;ENSG00000169248;ENSG00000111321;ENSG00000169245;ENSG00000259207;ENSG00000170458;ENSG00000138755;ENSG00000139269;ENSG00000163823;ENSG00000134352;ENSG00000177606;ENSG00000184557;ENSG00000136244;ENSG00000115590;ENSG00000135218;ENSG00000135503;ENSG00000056736;ENSG00000134470;ENSG00000168610;ENSG00000110395;ENSG00000105246;ENSG00000115604;ENSG00000131724
prerank	Estrogen Response Early	0.4130845265864219	1.0954470115250263	0.23962516733601072	1.0	1.0	89/200	20.18%	SYBU;NAV2;STC2;KAZN;PODXL;GREB1;PAPSS2;KRT19;OLFML3;SLC27A2;MLPH;RPS6KA2;ELF3;CCND1;WWC1;RET;IGFBP4;TFF3;HES1;SFN;MAPT;MYOF;GAB2;PTGES;FOS;TFF1;GFRA1;SLC1A1;CYP26B1;SH3BP5;CLDN7;IL6ST;ADCY1;KLK10;DHCR7;OLFM1;INHBB;UGCG;DHRS2;PEX11A;GJA1;REEP1;ALDH3B1;AKAP1;SLC16A1;SLC7A5;TTC39A;IL17RB;CLIC3;TPD52L1;RHOD;FASN;SLC39A6;PRSS23;MAST4;KRT8;ABHD2;FCMR;MYC;IGF1R;FOXC1;OPN3;BCL11B;PPIF;CANT1;SLC2A1;KRT18;RASGRP1;SEMA3B;MED13L;NCOR2;ELF1;ADCY9;ABAT;TMEM164;TMPRSS3;ADD3;FLNB;MYB;NRIP1;SLC26A2;RHOBTB3;ITPK1;RRP12;SCARB1;KCNK5;NXT1;FKBP5;SIAH2	ENSG00000147642;ENSG00000166833;ENSG00000113739;ENSG00000189337;ENSG00000128567;ENSG00000196208;ENSG00000198682;ENSG00000171345;ENSG00000116774;ENSG00000140284;ENSG00000115648;ENSG00000071242;ENSG00000163435;ENSG00000110092;ENSG00000113645;ENSG00000165731;ENSG00000141753;ENSG00000160180;ENSG00000114315;ENSG00000175793;ENSG00000186868;ENSG00000138119;ENSG00000033327;ENSG00000148344;ENSG00000170345;ENSG00000160182;ENSG00000151892;ENSG00000106688;ENSG00000003137;ENSG00000131370;ENSG00000181885;ENSG00000134352;ENSG00000164742;ENSG00000129451;ENSG00000172893;ENSG00000130558;ENSG00000163083;ENSG00000148154;ENSG00000100867;ENSG00000166821;ENSG00000152661;ENSG00000068615;ENSG00000006534;ENSG00000121057;ENSG00000155380;ENSG00000103257;ENSG00000085831;ENSG00000056736;ENSG00000169583;ENSG00000111907;ENSG00000173156;ENSG00000169710;ENSG00000141424;ENSG00000150687;ENSG00000069020;ENSG00000170421;ENSG00000140526;ENSG00000162894;ENSG00000136997;ENSG00000140443;ENSG00000054598;ENSG00000054277;ENSG00000127152;ENSG00000108179;ENSG00000171302;ENSG00000117394;ENSG00000111057;ENSG00000172575;ENSG00000012171;ENSG00000123066;ENSG00000196498;ENSG00000120690;ENSG00000162104;ENSG00000183044;ENSG00000157600;ENSG00000160183;ENSG00000148700;ENSG00000136068;ENSG00000118513;ENSG00000180530;ENSG00000155850;ENSG00000164292;ENSG00000100605;ENSG00000052749;ENSG00000073060;ENSG00000164626;ENSG00000132661;ENSG00000096060;ENSG00000181788
prerank	P53 Pathway	-0.3744446695816347	-1.0855334765600655	0.15748031496062992	0.961628547809314	0.938	93/200	19.07%	KLF4;PHLDA3;CDKN1A;CDKN2A;SERPINB5;RRAD;PDGFA;SESN1;TNFSF9;ANKRA2;HMOX1;CDH13;NHLH2;NUPR1;PMM1;PIDD1;FUCA1;TXNIP;PLXNB2;SERTAD3;TRIAP1;DGKA;HRAS;TAX1BP3;RGS16;MDM2;PLK3;FGF13;RPS27L;BAK1;IER3;SPHK1;PRKAB1;CDK5R1;CD82;RHBDF2;NINJ1;POLH;VAMP8;PCNA;DDB2;TRAF4;ADA;PROCR;BAX;DCXR;TSC22D1;ZMAT3;TM7SF3;CSRNP2;TSPYL2;IFI30;FDXR;ABHD4;S100A10;HSPA4L;RB1;GPX2;GADD45A;TGFB1;FAS;CCND3;HDAC3;CASP1;AEN;SOCS1;FOXO3;TP53;CYFIP2;ZFP36L1;DDIT3;DEF6;F2R;PPM1D;IER5;UPP1;H2AJ;SEC61A1;TM4SF1;ATF3;EI24;APP;PLK2;WRAP73;CTSD;XPC;PITPNC1;CTSF;RAD9A;ISCU;RNF19B;RPL36;BTG2	ENSG00000136826;ENSG00000174307;ENSG00000124762;ENSG00000147889;ENSG00000206075;ENSG00000166592;ENSG00000197461;ENSG00000080546;ENSG00000125657;ENSG00000164331;ENSG00000100292;ENSG00000140945;ENSG00000177551;ENSG00000176046;ENSG00000100417;ENSG00000177595;ENSG00000179163;ENSG00000265972;ENSG00000196576;ENSG00000167565;ENSG00000170855;ENSG00000065357;ENSG00000174775;ENSG00000213977;ENSG00000143333;ENSG00000135679;ENSG00000173846;ENSG00000129682;ENSG00000185088;ENSG00000030110;ENSG00000137331;ENSG00000176170;ENSG00000111725;ENSG00000176749;ENSG00000085117;ENSG00000129667;ENSG00000131669;ENSG00000170734;ENSG00000118640;ENSG00000132646;ENSG00000134574;ENSG00000076604;ENSG00000196839;ENSG00000101000;ENSG00000087088;ENSG00000169738;ENSG00000102804;ENSG00000172667;ENSG00000064115;ENSG00000110925;ENSG00000184205;ENSG00000216490;ENSG00000161513;ENSG00000100439;ENSG00000197747;ENSG00000164070;ENSG00000139687;ENSG00000176153;ENSG00000116717;ENSG00000105329;ENSG00000026103;ENSG00000112576;ENSG00000171720;ENSG00000137752;ENSG00000181026;ENSG00000185338;ENSG00000118689;ENSG00000141510;ENSG00000055163;ENSG00000185650;ENSG00000175197;ENSG00000023892;ENSG00000181104;ENSG00000170836;ENSG00000162783;ENSG00000183696;ENSG00000246705;ENSG00000058262;ENSG00000169908;ENSG00000162772;ENSG00000149547;ENSG00000142192;ENSG00000145632;ENSG00000116213;ENSG00000117984;ENSG00000154767;ENSG00000154217;ENSG00000174080;ENSG00000172613;ENSG00000136003;ENSG00000116514;ENSG00000130255;ENSG00000159388
