EnsemblID	gene_name	logFC	logCPM	PValue	FDR	F	gene_biotype	GroupA_AvgCPM	GroupB_AvgCPM	GroupA_stdv	GroupB_stdv	log10FDR	alias	mygene_name	summary
	ENSG00000257553	2.63003	-0.15393				lncRNA								
	PRG4	2.18934	0.794524				protein_coding								
	PDGFRA	2.12455	-0.119398				protein_coding								
	ALDH8A1	2.06836	-0.62313				protein_coding								
	MKRN3	2.06836	-0.62313				protein_coding								
	ENSG00000259232	2.06836	-0.62313				processed_pseudogene								
	ENPP2	2.03113	1.59121				protein_coding								
	THRIL	2.01693	0.420536				lncRNA								
	NFIA	2.00889	3.2196				protein_coding								
	AKT3-IT1	1.92403	-0.738522				lncRNA								
	ENSG00000233547	1.92403	-0.738522				lncRNA								
	ENSG00000293334	1.92403	-0.738522				lncRNA								
	ENSG00000297929	1.92403	-0.738522				lncRNA								
	ENSG00000299418	1.9148	0.0595766				lncRNA								
	HS6ST2	1.86161	-0.329517				protein_coding								
	FUT3	1.84607	-0.799874				protein_coding								
	ENSG00000287562	1.8275	0.706207				lncRNA								
	IL21-AS1	1.8166	1.30288				lncRNA								
	ENSG00000267571	1.8164	0.0807664				lncRNA								
	ENSG00000304144	1.80628	1.41341				lncRNA								
	ENSG00000304130	1.78294	1.70178				lncRNA								
	CCDC62	1.76365	-0.863952				protein_coding								
	PTPRG	1.76365	-0.863952				protein_coding								
	DDN	1.76365	-0.863952				protein_coding								
	SCN8A	1.76365	-0.863952				protein_coding								
	RNU6-670P	1.76365	-0.863952				snRNA								
	KIF4CP	1.76365	-0.863952				processed_pseudogene								
	ENSG00000266469	1.76365	-0.863952				lncRNA								
	ENSG00000285884	1.76365	-0.863952				lncRNA								
	ENSG00000290055	1.76365	-0.863952				lncRNA								
	ENSG00000296297	1.76365	-0.863952				lncRNA								
	ENSG00000301037	1.76365	-0.863952				lncRNA								
	ENSG00000305054	1.76365	-0.863952				lncRNA								
	ENSG00000305592	1.76365	-0.863952				lncRNA								
	ENSG00000201592	1.74136	-0.422955				snoRNA								
	ENSG00000306517	1.74136	-0.422955				lncRNA								
	ENSG00000309800	1.73965	1.2433				lncRNA								
	RPL21P86	1.72844	-0.0856732				processed_pseudogene								
	ENSG00000259682	1.72844	-0.0856732				lncRNA								
	ENSG00000261505	1.70969	0.615128				lncRNA								
	ENSG00000304996	1.70614	-0.265964				lncRNA								
	IL20RB	1.67725	-0.472046				protein_coding								
	ENSG00000264635	1.62538	-0.164178				lncRNA								
	ENSG00000306752	1.62538	-0.164178				lncRNA								
	WNT2B	1.61017	-0.522867				protein_coding								
	IL17RE	1.61017	-0.522867				protein_coding								
	LINC02608	1.61017	-0.522867				lncRNA								
	STARD4-AS1	1.61017	-0.522867				lncRNA								
	ENSG00000254484	1.61017	-0.522867				lncRNA								
	ENSG00000269949	1.61017	-0.522867				lncRNA								
	ENSG00000288998	1.61017	-0.522867				lncRNA								
	SDK2	1.58318	-1.00133				protein_coding								
	NID2	1.58318	-1.00133				protein_coding								
	RHOV	1.58318	-1.00133				protein_coding								
	SIX1	1.58318	-1.00133				protein_coding								
	TRPM4	1.58318	-1.00133				protein_coding								
	PAQR5	1.58318	-1.00133				protein_coding								
	SYBU	1.58318	-1.00133				protein_coding								
	GDF9	1.58318	-1.00133				protein_coding								
	LINC02848	1.58318	-1.00133				lncRNA								
	NDFIP2-AS1	1.58318	-1.00133				lncRNA								
	H3P32	1.58318	-1.00133				processed_pseudogene								
	RPL21P123	1.58318	-1.00133				transcribed_processed_pseudogene								
	ENSG00000258365	1.58318	-1.00133				lncRNA								
	ENSG00000259357	1.58318	-1.00133				lncRNA								
	LINC02883	1.58318	-1.00133				lncRNA								
	ENSG00000261093	1.58318	-1.00133				lncRNA								
	ENSG00000269903	1.58318	-1.00133				lncRNA								
	ENSG00000271980	1.58318	-1.00133				lncRNA								
	ENSG00000273275	1.58318	-1.00133				lncRNA								
	RN7SL166P	1.58318	-1.00133				misc_RNA								
	ENSG00000277581	1.58318	-1.00133				lncRNA								
	ENSG00000278434	1.58318	-1.00133				lncRNA								
	ENSG00000278607	1.58318	-1.00133				lncRNA								
	ENSG00000279236	1.58318	-1.00133				TEC								
	ENSG00000287284	1.58318	-1.00133				lncRNA								
	ENSG00000289159	1.58318	-1.00133				lncRNA								
	ENSG00000289973	1.58318	-1.00133				lncRNA								
	ENSG00000308907	1.58318	-1.00133				lncRNA								
	CXCL13	1.5489	0.827713				protein_coding								
	PSD3	1.54498	0.0551667				protein_coding								
	LINC01068	1.54498	0.0551667				lncRNA								
	RNVU1-26	1.5419	0.174687				snRNA								
	ENSG00000294191	1.53397	1.34194				lncRNA								
	MIR210HG	1.53299	0.658482				lncRNA								
	Y_RNA	1.52713	1.08261				misc_RNA								
	ENSG00000263620	1.51644	-0.803874				protein_coding								
	NGFR	1.51439	-0.247201				protein_coding								
	STYXL2	1.51439	-0.247201				protein_coding								
	KRT8P15	1.51439	-0.247201				processed_pseudogene								
	PRKACB-DT	1.51439	-0.247201				lncRNA								
	ENSG00000279320	1.51439	-0.247201				TEC								
	LAMC1	1.51269	0.466727				protein_coding								
	AKR1E2	1.49341	0.786565				protein_coding								
	ENSG00000259994	1.49341	0.786565				lncRNA								
	TRAJ22	1.48371	-1.07526				TR_J_gene								
	XNDC1N-ZNF705EP-ALG1L9P	1.48371	-1.07526				protein_coding								
	ENSG00000273149	1.47577	2.69602				lncRNA								
	PALLD	1.47279	2.77043				protein_coding								
	MUC13	1.47027	0.612129				protein_coding								
	CCNT2-AS1	1.47027	0.612129				lncRNA								
	IRAK3	1.46585	-0.630215				protein_coding								
	BAMBI	1.46585	-0.630215				protein_coding								
	RSPH4A	1.46585	-0.630215				protein_coding								
